,winner,gameDuration,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,t1_towerKills,t1_inhibitorKills,t1_baronKills,t1_dragonKills,t1_riftHeraldKills,t2_towerKills,t2_inhibitorKills,t2_baronKills,t2_dragonKills,t2_riftHeraldKills
20,red,2026,blue,blue,blue,red,blue,red,5,1,0,1,0,11,3,1,2,1
21,red,1962,blue,red,red,red,blue,nobody,2,0,0,1,0,9,1,1,2,0
22,red,1511,blue,red,red,nobody,red,nobody,2,0,0,0,0,10,2,0,2,0
23,blue,1756,blue,blue,blue,blue,blue,blue,11,3,1,3,1,2,0,0,0,0
24,red,2173,red,red,red,nobody,blue,nobody,2,0,0,1,0,11,3,0,0,0
25,red,2211,red,red,red,nobody,red,blue,2,0,0,0,1,10,2,0,3,0
26,red,2472,red,red,blue,blue,red,red,10,3,1,2,0,10,2,1,3,1
27,red,1342,red,red,nobody,nobody,red,nobody,0,0,0,0,0,5,0,0,2,0
28,red,2288,blue,red,red,red,red,red,4,0,0,1,0,7,2,1,3,1
29,blue,1899,blue,blue,blue,blue,blue,blue,10,3,1,2,1,2,0,0,1,0
30,red,1597,red,blue,red,red,blue,blue,4,0,0,2,1,9,1,1,0,0
31,blue,1649,blue,blue,blue,red,blue,nobody,9,2,0,2,0,0,0,1,0,0
32,blue,1894,blue,blue,blue,red,blue,nobody,10,2,0,2,0,1,0,1,1,0
33,blue,2473,blue,red,red,red,red,nobody,11,3,1,2,0,7,1,1,3,0
34,red,2452,blue,blue,red,red,blue,blue,3,0,0,3,1,11,3,1,1,0
35,red,1478,red,red,red,nobody,red,nobody,1,0,0,0,0,11,3,0,1,0
36,red,1505,red,red,red,nobody,red,nobody,2,0,0,0,0,10,2,0,2,0
37,blue,2112,blue,blue,blue,nobody,blue,nobody,10,2,0,2,0,0,0,0,1,0
38,blue,2054,red,blue,blue,nobody,blue,nobody,10,2,0,4,0,3,0,0,0,0
39,blue,1349,red,blue,blue,nobody,blue,blue,8,1,0,2,1,0,0,0,0,0
40,red,2309,red,blue,red,red,blue,red,5,0,0,3,0,10,1,2,1,1
41,red,1329,red,red,red,nobody,red,red,0,0,0,0,0,11,3,0,1,1
42,blue,1800,red,blue,blue,blue,blue,blue,8,1,1,2,1,4,0,0,1,0
43,red,932,red,red,red,nobody,red,nobody,0,0,0,0,0,6,1,0,1,0
44,red,2166,blue,red,blue,blue,blue,blue,6,3,1,2,1,8,1,1,1,0
45,blue,1994,blue,red,blue,nobody,red,nobody,9,2,0,2,0,2,0,0,1,0
46,blue,2048,blue,red,blue,red,red,red,8,2,1,1,0,2,0,1,1,1
47,red,1461,red,red,red,nobody,red,blue,2,0,0,0,1,8,2,0,2,0
48,red,2302,red,blue,red,red,red,red,4,0,0,0,0,9,2,1,3,1
49,red,2237,red,red,blue,blue,blue,red,7,1,1,2,0,9,1,1,1,1
50,red,2555,blue,blue,red,blue,blue,blue,5,1,1,4,1,11,4,1,1,0
51,blue,1026,blue,blue,blue,nobody,blue,nobody,9,2,0,1,0,1,0,0,0,0
52,red,1303,red,red,red,red,red,red,1,0,0,0,0,7,1,1,2,1
53,blue,1843,blue,blue,blue,nobody,blue,blue,11,4,0,3,1,0,0,0,0,0
54,red,1691,blue,red,red,blue,blue,red,4,0,1,1,0,7,1,0,2,1
55,blue,1875,blue,blue,blue,nobody,red,nobody,11,3,0,1,0,1,0,0,1,0
56,red,1413,red,red,red,red,red,red,1,0,0,0,0,9,1,1,2,1
57,blue,1682,blue,blue,blue,blue,red,blue,9,2,1,1,1,0,0,0,1,0
58,red,1640,red,red,red,nobody,red,nobody,1,0,0,0,0,9,2,0,2,0
59,blue,1925,blue,blue,blue,blue,blue,nobody,7,1,1,2,0,2,0,0,0,0
60,blue,1816,blue,red,blue,blue,blue,blue,11,4,1,3,1,1,0,0,0,0
61,blue,1070,blue,blue,blue,nobody,blue,blue,10,2,0,2,1,0,0,0,0,0
62,red,1633,red,red,red,red,red,red,0,0,0,0,0,10,3,1,3,1
63,red,2169,red,red,red,nobody,blue,blue,4,0,0,2,1,8,1,0,2,0
64,red,197,nobody,nobody,nobody,nobody,nobody,nobody,0,0,0,0,0,0,0,0,0,0
65,blue,1261,blue,blue,nobody,nobody,blue,blue,4,0,0,1,1,0,0,0,0,0
66,blue,2493,blue,blue,blue,nobody,red,nobody,10,2,0,3,0,2,0,0,1,0
67,blue,2259,red,blue,blue,blue,red,red,10,3,2,2,0,4,0,0,3,1
68,red,1697,blue,red,red,red,red,nobody,1,0,0,0,0,7,1,1,2,0
69,blue,1723,red,blue,blue,blue,blue,nobody,11,3,1,1,0,1,0,0,0,0
70,red,1643,blue,red,red,red,red,red,1,0,0,0,0,11,3,1,2,1
71,red,2187,blue,red,red,red,red,red,4,0,0,0,0,10,2,1,4,1
72,blue,1590,red,blue,blue,blue,red,blue,9,2,1,1,1,1,0,0,1,0
73,blue,1638,blue,blue,blue,blue,blue,blue,11,3,1,3,1,1,0,0,0,0
74,red,2147,blue,red,red,red,red,nobody,6,0,0,0,0,10,2,1,3,0
75,blue,1296,red,blue,nobody,nobody,red,nobody,1,0,0,1,0,2,0,0,1,0
76,blue,2634,red,red,red,blue,blue,nobody,9,1,2,3,0,8,1,0,2,0
77,blue,963,blue,blue,nobody,nobody,nobody,nobody,4,0,0,0,0,1,0,0,0,0
78,red,2929,blue,blue,red,blue,blue,blue,5,0,1,4,1,10,1,0,1,0
79,blue,2097,red,blue,blue,blue,blue,blue,11,3,1,3,1,1,0,0,1,0
80,blue,2051,red,red,blue,blue,blue,red,5,1,1,2,0,4,0,0,0,1
81,blue,1707,red,blue,blue,blue,blue,red,10,2,1,1,0,1,0,0,0,1
82,blue,193,blue,nobody,nobody,nobody,nobody,nobody,0,0,0,0,0,0,0,0,0,0
83,red,1934,red,red,red,red,red,red,0,0,0,0,0,8,2,1,3,1
84,blue,1451,blue,blue,nobody,nobody,red,nobody,3,0,0,0,0,1,0,0,1,0
85,red,1257,red,red,red,nobody,blue,nobody,2,0,0,1,0,5,1,0,1,0
86,blue,1789,red,blue,blue,blue,red,nobody,7,1,1,1,0,2,0,0,2,0
87,blue,1311,blue,blue,nobody,nobody,blue,nobody,4,0,0,2,0,0,0,0,0,0
88,red,2218,blue,blue,red,blue,blue,nobody,5,0,1,3,0,9,1,1,2,0
89,blue,1469,red,blue,blue,blue,blue,nobody,7,1,1,1,0,1,0,0,0,0
90,red,1543,blue,red,red,red,red,red,2,0,0,0,0,11,3,1,3,1
91,blue,2149,blue,blue,blue,nobody,blue,blue,11,3,0,4,1,1,0,0,0,0
92,blue,2050,blue,blue,blue,blue,red,nobody,11,4,1,1,0,3,0,0,2,0
93,red,2131,red,red,red,red,blue,nobody,3,0,0,2,0,9,1,1,1,0
94,red,2039,red,blue,red,red,blue,blue,3,0,0,2,1,11,3,1,1,0
95,blue,2600,red,red,blue,blue,blue,red,5,2,2,4,0,3,0,0,0,1
96,blue,1761,blue,blue,blue,blue,red,nobody,9,1,1,2,0,0,0,0,2,0
97,blue,1534,blue,blue,blue,nobody,blue,blue,10,2,0,3,1,0,0,0,0,0
98,red,1226,blue,red,red,nobody,red,red,0,0,0,0,0,9,3,0,2,1
99,red,1873,blue,red,red,red,red,nobody,0,0,0,0,0,11,4,1,3,0
100,blue,1695,blue,blue,blue,red,red,nobody,10,2,0,1,0,5,0,1,1,0
101,blue,2243,blue,blue,red,blue,blue,nobody,8,1,1,3,0,6,1,0,0,0
102,blue,1604,blue,blue,blue,blue,red,blue,10,2,1,1,1,0,0,0,2,0
103,red,1861,red,red,red,red,red,nobody,3,0,0,1,0,8,1,1,1,0
104,blue,2280,blue,blue,blue,blue,blue,red,10,3,2,4,0,5,0,0,0,1
105,red,2372,blue,blue,red,red,red,blue,4,0,0,0,1,10,3,2,4,0
106,blue,1810,red,red,nobody,blue,red,nobody,3,0,1,1,0,5,0,0,1,0
107,red,1725,blue,red,red,nobody,red,nobody,1,0,0,0,0,8,2,0,2,0
108,red,2615,blue,blue,red,red,red,nobody,7,0,0,1,0,7,1,1,2,0
109,blue,1923,red,blue,blue,blue,red,nobody,11,3,1,2,0,2,0,0,1,0
110,blue,1233,blue,blue,blue,nobody,blue,nobody,7,1,0,2,0,0,0,0,0,0
111,blue,1771,red,blue,blue,blue,blue,nobody,6,1,1,3,0,3,0,0,0,0
112,blue,1161,blue,blue,blue,nobody,blue,nobody,7,1,0,1,0,0,0,0,0,0
113,blue,1660,blue,blue,blue,blue,blue,nobody,10,1,1,2,0,1,0,0,0,0
114,red,1760,blue,blue,red,red,blue,blue,2,0,0,1,1,8,1,1,2,0
115,blue,1906,blue,red,blue,blue,blue,blue,11,3,2,4,1,2,0,0,0,0
116,red,1289,red,red,nobody,nobody,red,nobody,0,0,0,0,0,8,0,0,2,0
117,blue,1522,red,blue,blue,blue,blue,nobody,8,2,1,2,0,1,0,0,0,0
118,red,3288,red,blue,blue,blue,red,blue,7,2,3,2,1,6,2,0,4,0
119,blue,192,blue,nobody,nobody,nobody,nobody,nobody,0,0,0,0,0,0,0,0,0,0
120,blue,948,red,blue,nobody,nobody,nobody,nobody,1,0,0,0,0,0,0,0,0,0
121,red,1500,blue,red,red,red,red,blue,2,0,0,0,1,9,2,1,2,0
122,red,1324,red,red,red,nobody,red,red,1,0,0,0,0,8,2,0,2,1
123,blue,1861,blue,blue,blue,blue,blue,blue,7,1,1,3,1,4,0,0,1,0
124,red,930,red,blue,nobody,nobody,red,nobody,1,0,0,0,0,3,0,0,1,0
125,blue,2845,red,blue,blue,red,red,nobody,8,3,0,2,0,8,1,2,2,0
126,red,2229,red,blue,red,red,red,nobody,4,0,0,1,0,9,1,1,3,0
127,blue,2136,red,blue,blue,nobody,red,blue,10,1,0,3,1,0,0,0,1,0
128,blue,1330,red,blue,blue,nobody,blue,nobody,9,2,0,1,0,0,0,0,0,0
129,red,1366,blue,red,nobody,nobody,red,nobody,0,0,0,0,0,5,0,0,1,0
130,red,1872,blue,blue,red,red,red,nobody,2,0,0,0,0,11,3,2,3,0
131,blue,2310,red,red,blue,blue,blue,blue,8,1,1,1,1,6,0,0,3,0
132,blue,1438,blue,blue,blue,blue,blue,blue,11,4,1,1,1,0,0,0,1,0
133,blue,2202,red,blue,blue,blue,blue,blue,11,4,1,3,1,1,0,0,0,0
134,red,1351,red,red,nobody,nobody,red,nobody,0,0,0,0,0,5,0,0,2,0
135,red,1400,red,red,nobody,nobody,red,nobody,2,0,0,0,0,7,0,0,2,0
136,red,1675,blue,red,red,nobody,blue,nobody,1,0,0,2,0,6,1,0,1,0
137,blue,1379,red,red,blue,blue,blue,nobody,8,1,1,2,0,1,0,0,0,0
138,red,2463,blue,red,red,blue,blue,red,5,0,1,2,0,9,1,1,2,1
139,blue,1367,blue,blue,blue,nobody,blue,nobody,9,1,0,1,0,0,0,0,0,0
140,blue,2114,red,blue,blue,blue,blue,nobody,10,3,1,2,0,3,0,0,1,0
141,red,2311,blue,red,red,red,red,nobody,2,0,0,0,0,8,1,1,3,0
142,red,1784,blue,blue,nobody,red,blue,nobody,2,0,0,2,0,3,0,1,1,0
143,red,3072,blue,red,red,red,red,nobody,3,0,0,0,0,11,4,2,5,0
144,red,935,red,red,nobody,nobody,nobody,nobody,0,0,0,0,0,3,0,0,0,0
145,red,2396,blue,blue,red,red,red,nobody,6,0,0,2,0,10,2,2,2,0
146,blue,1146,red,blue,blue,nobody,blue,nobody,11,2,0,2,0,0,0,0,0,0
147,red,2276,blue,blue,red,nobody,red,nobody,5,0,0,1,0,7,1,0,2,0
148,blue,2700,red,red,blue,red,red,nobody,9,4,0,1,0,6,1,1,3,0
149,blue,208,blue,nobody,nobody,nobody,nobody,nobody,0,0,0,0,0,0,0,0,0,0
150,red,1672,red,red,red,nobody,red,nobody,0,0,0,0,0,10,3,0,2,0
151,red,1960,red,red,red,nobody,blue,nobody,0,0,0,1,0,10,3,0,2,0
152,blue,1703,red,red,blue,blue,blue,red,9,2,1,1,0,4,0,0,2,1
153,red,1631,red,red,red,red,red,red,0,0,0,0,0,9,1,1,3,1
154,red,2166,blue,red,red,red,red,nobody,3,0,0,0,0,11,4,1,3,0
155,blue,1367,blue,blue,blue,nobody,blue,blue,7,1,0,1,1,1,0,0,0,0
156,red,1781,blue,red,red,nobody,red,red,4,0,0,0,0,9,2,0,4,1
157,blue,2526,red,blue,blue,blue,blue,nobody,8,1,2,2,0,4,0,0,2,0
158,blue,1574,blue,red,blue,nobody,blue,blue,7,1,0,2,1,3,0,0,0,0
159,blue,1315,blue,blue,nobody,nobody,blue,nobody,5,0,0,1,0,1,0,0,0,0
160,blue,2236,red,red,blue,red,blue,red,10,2,0,4,0,4,0,2,1,1
161,red,1647,blue,blue,red,red,blue,nobody,4,0,0,1,0,11,3,1,2,0
162,blue,1400,blue,blue,blue,blue,blue,blue,10,2,1,1,1,0,0,0,0,0
163,blue,1592,blue,red,blue,nobody,blue,nobody,9,1,0,2,0,2,0,0,0,0
164,blue,1489,red,blue,blue,blue,blue,red,11,4,1,3,0,1,0,0,0,1
165,red,2286,blue,blue,blue,red,red,blue,9,2,0,1,1,8,1,2,3,0
166,blue,1550,blue,blue,blue,blue,blue,nobody,9,2,1,1,0,3,0,0,1,0
167,blue,2018,red,red,blue,blue,red,red,8,1,2,0,0,4,0,0,4,1
168,red,2378,red,red,red,red,red,red,1,0,0,0,0,10,2,1,5,1
169,blue,911,blue,blue,nobody,nobody,nobody,nobody,4,0,0,0,0,0,0,0,0,0
170,blue,2047,blue,red,blue,blue,red,blue,10,2,1,1,1,3,0,0,2,0
171,blue,1955,blue,red,red,blue,blue,red,8,1,1,3,0,9,2,0,1,1
172,red,1574,red,red,red,red,blue,nobody,0,0,0,1,0,11,3,1,1,0
173,red,2083,blue,blue,red,nobody,red,nobody,3,0,0,1,0,8,1,0,2,0
174,blue,1748,red,blue,blue,nobody,blue,nobody,8,1,0,2,0,1,0,0,0,0
175,red,1693,red,blue,red,red,red,nobody,1,0,0,0,0,10,2,1,2,0
176,blue,1255,blue,blue,blue,nobody,blue,blue,6,1,0,1,1,0,0,0,0,0
177,red,1842,blue,red,red,nobody,blue,red,1,0,0,2,0,8,1,0,2,1
178,blue,1619,red,blue,blue,nobody,nobody,nobody,7,1,0,0,0,1,0,0,0,0
179,red,1552,blue,red,red,red,red,red,0,0,0,0,0,9,2,1,2,1
180,blue,1359,blue,blue,blue,nobody,blue,nobody,8,1,0,2,0,0,0,0,0,0
181,red,1597,red,red,red,nobody,red,nobody,0,0,0,0,0,11,4,0,1,0
182,red,2377,red,red,red,blue,red,nobody,1,0,1,0,0,10,3,0,4,0
183,red,2121,red,blue,red,blue,red,nobody,3,0,1,0,0,10,2,0,4,0
184,blue,3328,blue,red,blue,red,blue,nobody,7,1,1,3,0,7,0,1,2,0
185,blue,1948,red,blue,blue,nobody,blue,nobody,9,2,0,3,0,2,0,0,0,0
186,blue,2560,blue,red,blue,blue,blue,nobody,7,1,1,2,0,3,0,0,1,0
187,blue,1726,blue,blue,blue,blue,blue,blue,9,3,1,3,1,2,0,0,0,0
188,blue,2494,red,red,blue,blue,red,red,9,2,1,0,0,7,0,1,4,1
189,red,1932,blue,red,red,red,red,blue,3,0,0,0,1,10,3,2,3,0
190,blue,2149,red,red,blue,blue,red,blue,10,2,2,1,1,4,0,0,3,0
191,red,1729,blue,red,red,nobody,red,nobody,0,0,0,1,0,9,3,0,1,0
192,red,1873,red,red,red,nobody,blue,nobody,2,0,0,2,0,9,2,0,1,0
193,blue,2898,blue,red,blue,nobody,red,nobody,10,3,0,1,0,3,0,0,3,0
194,red,2100,blue,blue,red,nobody,blue,nobody,5,0,0,3,0,7,1,0,0,0
195,red,2048,red,red,red,red,red,blue,2,0,0,0,1,7,2,2,4,0
196,blue,1670,red,red,blue,blue,red,red,8,2,1,1,0,6,1,0,2,1
197,red,2100,blue,blue,red,blue,red,blue,5,0,1,1,1,9,1,0,3,0
198,blue,1755,red,blue,blue,nobody,blue,blue,11,4,0,2,1,1,0,0,0,0
199,blue,1819,red,red,blue,red,red,nobody,9,3,0,2,0,5,0,1,2,0
200,blue,1412,blue,blue,blue,blue,blue,blue,11,3,1,2,1,0,0,0,0,0
201,blue,1579,blue,blue,blue,nobody,blue,red,11,3,0,2,0,0,0,0,0,1
202,blue,1299,red,blue,blue,nobody,blue,nobody,8,1,0,2,0,1,0,0,0,0
203,red,2299,blue,blue,red,nobody,blue,nobody,3,0,0,2,0,8,1,0,1,0
204,blue,2075,blue,blue,blue,blue,blue,blue,10,3,1,3,1,3,0,0,0,0
205,red,1869,blue,blue,red,nobody,red,nobody,2,0,0,0,0,10,3,0,2,0
206,red,2295,blue,blue,blue,red,blue,blue,7,1,0,3,1,10,2,1,1,0
207,blue,1135,blue,blue,blue,nobody,blue,nobody,9,3,0,2,0,0,0,0,0,0
208,red,3025,red,blue,red,blue,red,nobody,7,0,1,4,0,7,2,0,1,0
209,blue,1688,red,red,blue,blue,red,red,11,2,1,2,0,4,0,0,1,1
210,blue,1230,blue,blue,nobody,nobody,blue,blue,7,0,0,1,1,2,0,0,1,0
211,blue,2507,red,red,blue,red,red,nobody,7,1,1,3,0,3,0,1,1,0
212,red,1997,blue,red,red,red,red,red,4,0,0,0,0,9,1,1,2,1
213,red,1876,red,red,red,red,red,red,1,0,0,0,0,10,2,1,3,1
214,red,2685,blue,red,blue,blue,red,red,5,1,2,0,0,11,3,1,4,1
215,red,1770,red,red,red,red,red,red,0,0,0,0,0,10,3,1,4,1
216,blue,2675,blue,blue,blue,blue,blue,red,11,4,1,3,0,6,0,1,1,1
217,blue,2331,blue,red,blue,blue,red,nobody,9,2,1,0,0,4,0,0,2,0
218,red,1557,red,red,red,red,red,red,2,0,0,0,0,9,4,1,3,1
219,blue,1353,blue,blue,blue,blue,blue,blue,11,4,1,3,1,0,0,0,0,0
220,red,2505,red,blue,red,blue,blue,nobody,4,0,2,2,0,7,1,1,2,0
221,red,2315,red,red,red,red,red,nobody,4,0,0,1,0,8,2,1,4,0
222,red,1413,red,red,red,nobody,red,red,1,0,0,0,0,6,1,0,1,1
223,red,1592,blue,blue,blue,nobody,blue,nobody,5,1,0,1,0,9,2,0,1,0
224,red,2310,blue,blue,red,red,red,red,5,0,0,2,0,10,2,2,2,1
225,blue,1637,blue,blue,blue,nobody,nobody,nobody,9,2,0,0,0,1,0,0,0,0
226,blue,1722,red,blue,blue,blue,blue,blue,11,3,1,3,1,0,0,0,0,0
227,red,1658,red,red,red,red,red,nobody,0,0,0,0,0,11,3,1,3,0
228,red,1488,blue,red,red,red,red,red,0,0,0,0,0,7,1,1,3,1
229,blue,1349,blue,blue,blue,nobody,blue,blue,9,1,0,1,1,0,0,0,0,0
230,blue,1837,blue,blue,blue,nobody,blue,nobody,11,3,0,1,0,1,0,0,1,0
231,red,2077,blue,red,red,blue,red,blue,3,0,1,0,1,7,1,0,4,0
232,blue,2544,blue,blue,red,blue,red,red,7,1,2,3,0,11,4,0,2,1
233,blue,1788,red,blue,blue,blue,blue,blue,9,1,1,3,1,0,0,0,0,0
234,red,1768,red,blue,red,blue,blue,blue,3,0,1,3,1,8,1,0,0,0
235,blue,1767,blue,red,blue,blue,red,red,7,1,1,1,0,3,0,0,2,1
236,red,1921,blue,red,red,blue,blue,red,3,0,1,2,0,10,2,1,1,1
237,blue,1474,red,blue,blue,blue,red,nobody,11,3,1,1,0,0,0,0,1,0
238,red,1897,red,red,red,red,blue,red,1,0,0,1,0,8,1,1,3,1
239,red,2597,blue,blue,red,red,blue,blue,2,0,0,3,1,8,3,1,2,0
240,blue,1702,red,red,blue,blue,red,blue,11,2,1,1,1,4,0,0,2,0
241,red,2564,blue,blue,red,blue,red,blue,5,0,1,0,1,9,2,1,4,0
242,red,1786,red,red,red,nobody,red,nobody,2,0,0,0,0,9,1,0,3,0
243,red,1531,red,red,red,red,red,red,1,0,0,0,0,9,2,1,3,1
244,red,1356,blue,red,nobody,nobody,red,nobody,1,0,0,0,0,3,0,0,1,0
245,red,1468,blue,red,nobody,nobody,red,nobody,1,0,0,0,0,5,0,0,2,0
246,blue,1504,red,blue,blue,nobody,red,blue,8,1,0,1,1,3,0,0,1,0
247,red,2275,red,red,red,blue,red,red,5,0,1,0,0,10,5,1,5,1
248,red,1398,blue,red,red,nobody,red,blue,0,0,0,0,1,9,2,0,2,0
249,red,2228,blue,red,nobody,red,blue,red,4,0,0,3,0,5,0,1,1,1
250,red,2196,red,red,red,red,blue,nobody,3,0,0,1,0,10,2,1,3,0
251,blue,1298,blue,blue,blue,nobody,nobody,blue,10,2,0,0,1,0,0,0,0,0
252,red,2114,blue,blue,red,blue,red,blue,5,0,1,0,1,7,1,0,4,0
253,red,1898,red,red,red,nobody,red,nobody,0,0,0,0,0,10,2,0,3,0
254,red,2043,red,blue,red,red,blue,red,4,0,0,2,0,6,1,1,2,1
255,red,2000,blue,red,red,red,red,red,0,0,0,0,0,11,4,1,4,1
256,red,1947,red,red,red,red,red,nobody,2,0,0,0,0,11,5,1,2,0
257,blue,2584,red,blue,blue,nobody,blue,nobody,8,1,0,3,0,5,0,0,0,0
258,blue,1515,red,blue,blue,nobody,blue,blue,7,1,0,2,1,1,0,0,0,0
259,blue,1808,blue,blue,blue,blue,blue,nobody,10,2,1,2,0,0,0,0,0,0
260,red,1336,blue,blue,nobody,nobody,blue,red,1,0,0,1,0,4,0,0,0,1
261,blue,2139,blue,blue,blue,blue,blue,blue,10,3,2,3,1,3,0,0,1,0
262,blue,1970,blue,blue,blue,blue,blue,nobody,8,1,1,4,0,3,0,0,0,0
263,blue,1727,blue,blue,blue,nobody,blue,blue,9,2,0,1,1,2,0,0,2,0
264,blue,2874,red,blue,red,blue,red,nobody,9,2,1,2,0,8,2,1,3,0
265,blue,1699,blue,blue,blue,blue,blue,nobody,10,2,1,3,0,0,0,0,0,0
266,red,3144,blue,red,red,red,red,nobody,9,1,1,4,0,8,3,2,1,0
267,red,2409,red,red,red,nobody,red,nobody,4,0,0,2,0,10,2,0,2,0
268,red,1249,red,red,nobody,nobody,red,nobody,0,0,0,0,0,4,0,0,1,0
269,red,1526,blue,blue,nobody,red,red,nobody,5,0,0,0,0,1,0,1,3,0
270,red,1859,blue,red,red,nobody,red,nobody,4,0,0,0,0,7,1,0,1,0
271,red,2259,blue,blue,blue,blue,blue,blue,7,2,1,4,1,10,2,1,0,0
272,blue,2617,red,red,red,red,red,nobody,8,2,0,1,0,8,2,1,4,0
273,blue,1850,red,blue,blue,blue,blue,red,11,3,1,3,0,0,0,0,0,1
274,red,1811,blue,red,red,blue,red,nobody,4,0,1,2,0,10,3,0,2,0
275,blue,1780,red,blue,blue,blue,blue,nobody,10,1,2,3,0,1,0,0,0,0
276,blue,201,blue,nobody,nobody,nobody,nobody,nobody,0,0,0,0,0,0,0,0,0,0
277,red,1801,blue,red,red,red,red,red,0,0,0,0,0,9,2,1,3,1
278,red,1233,red,red,nobody,nobody,red,red,1,0,0,0,0,6,0,0,2,1
279,red,1769,red,red,red,nobody,blue,nobody,3,0,0,1,0,7,1,0,2,0
280,blue,1773,red,red,red,red,red,red,11,3,0,1,0,4,1,1,1,1
281,blue,1722,blue,red,blue,nobody,blue,nobody,11,3,0,2,0,4,0,0,0,0
282,blue,1600,red,blue,blue,blue,red,blue,9,2,1,0,1,1,0,0,1,0
283,blue,2122,blue,blue,blue,nobody,red,red,9,1,0,1,0,2,0,0,3,1
284,blue,1585,red,red,blue,blue,red,red,9,2,1,1,0,3,0,0,1,1
285,blue,1793,blue,blue,blue,blue,blue,blue,11,3,1,3,1,0,0,0,0,0
286,red,2237,blue,red,red,blue,red,nobody,3,0,1,0,0,9,1,0,3,0
287,blue,1158,blue,blue,blue,nobody,red,nobody,7,1,0,0,0,1,0,0,1,0
288,red,2524,red,blue,red,blue,blue,nobody,8,0,2,1,0,8,2,0,3,0
289,red,2196,red,blue,red,red,blue,red,4,0,0,2,0,11,4,2,2,1
290,red,2059,blue,blue,red,red,red,nobody,3,0,0,1,0,8,1,1,2,0
291,blue,1776,red,blue,blue,nobody,red,blue,9,1,0,3,1,1,0,0,1,0
292,blue,2174,blue,blue,blue,red,red,red,10,2,0,2,0,3,0,1,2,1
293,blue,2167,red,red,red,red,red,blue,9,1,1,1,1,6,1,1,2,0
294,blue,1254,blue,blue,blue,nobody,blue,nobody,7,1,0,1,0,1,0,0,0,0
295,red,2012,red,red,blue,red,red,blue,7,1,0,1,1,10,2,1,1,0
296,blue,2196,blue,blue,red,blue,blue,nobody,8,1,1,1,0,6,1,0,1,0
297,red,1789,blue,red,red,red,blue,blue,2,0,0,1,1,9,1,1,2,0
298,blue,2065,red,blue,blue,nobody,blue,nobody,10,3,0,2,0,4,0,0,0,0
299,blue,1656,blue,blue,blue,nobody,blue,blue,10,2,0,3,1,0,0,0,0,0
300,blue,2260,red,red,red,red,blue,blue,2,0,1,1,1,7,1,1,2,0
301,red,1800,red,blue,red,nobody,red,nobody,2,0,0,0,0,8,1,0,2,0
302,red,1568,blue,red,red,nobody,blue,nobody,2,0,0,1,0,9,2,0,1,0
303,blue,2393,blue,blue,blue,blue,blue,blue,8,1,2,3,1,3,0,0,0,0
304,blue,2023,blue,blue,blue,blue,blue,blue,9,2,1,4,1,2,0,0,0,0
305,red,1508,red,red,red,red,red,nobody,1,0,0,0,0,11,2,1,2,0
306,red,1683,blue,red,red,red,red,red,0,0,0,1,0,10,2,1,1,1
307,blue,2120,blue,red,blue,nobody,red,nobody,9,1,0,1,0,3,0,0,2,0
308,red,1636,red,red,red,red,red,red,1,0,0,0,0,8,2,1,2,1
309,blue,2540,blue,blue,blue,red,blue,nobody,10,3,1,5,0,7,0,1,0,0
